filename,Function_Return_type,Function_Params,Function_Name,Typedefs,Pointers,References,Arrays,Function_Calls
29050098_62784720.xml,b'istream &\n',b'istream &in\n',"['operator', 'operator', 'operator', 'operator', 'operator', 'operator', 'main']","b'typedef long long ll;typedef vector&lt;int> vi;typedef vector&lt;ll> vl;typedef pair&lt;int, int> pii;typedef pair&lt;ll, ll> pll;typedef pair&lt;int, ll> pil;typedef pair&lt;ll, int> pli;typedef tuple&lt;int, int, int> tpl;typedef vector&lt;string> vs;'",[],"[' istream & in', ' pair T1 T2 & P', ' ostream & out', ' const pair T1 T2 & P', ' istream & in', ' vector T & arr', ' ostream & out', ' const vector T & arr', ' istream & in', ' deque T & arr', ' ostream & out', ' const deque T & arr']",[],"[' time 0', ' ios :: sync_with_stdio 0', ' cin . tie 0']"
29084026_62786137.xml,b'int\n',b'\n',['main'],b'',[],[],[],[]
29020313_62792452.xml,b'ModInt\n',b'const ModInt& oth\n',"['lgpow', 'main']",b'',[],"[' const ModInt & oth', ' const ModInt & oth', ' const ModInt & oth']",[],"[' chrono :: high_resolution_clock :: now ()', ' time_since_epoch ()', ' count ()', ' chrono :: steady_clock :: now ()', ' n n % kMod', ' ios_base :: sync_with_stdio 0', ' cin . tie 0', ' cout . precision 20', ' srand ( unsigned int ) TMP', ' lgpow b M', ' lgpow r N', ' r . get ()']"
29035719_62783912.xml,b'void\n',b'\n',"['func', 'main']",b'',[],[],[],"[' min c / 2 b', ' min b / 2 a', ' func ()']"
29084199_62787562.xml,b'll\n',b'll b\n',"['pot', 'main']","b'typedef long long \t\tll;typedef unsigned long long \t\tull;typedef pair&lt;int, int>  ii;typedef vector&lt;int>     vi;typedef vector&lt;ii>      vii;typedef vector&lt;ll>      vll;'",[],[],[],"[' acos - 1', ' ios :: sync_with_stdio 0', ' cin . tie 0', ' pot ( pot 2 b + MOD - 1 ) % MOD a', ' pot 2 b']"
29087166_62784210.xml,b'int\n',b'\n',['main'],b'',[],[],"[' const int dx [] - 1 0 1 0 - 1 1 1 - 1', ' const int dy [] 0 1 0 - 1 1 1 - 1 - 1']",[]
29089880_62790058.xml,b'int\n',b'int a\n',"['ksm', 'main']",b'',[],[],[],"[' scanf ""%d%d"" & n & m', ' printf ""%d\\n"" ksm ksm 2 m - 1 n', ' ksm ksm 2 m - 1 n', ' ksm 2 m']"
29059073_62788625.xml,b'll\n',b'll b\n',"['iterBigmod', 'main']",b'typedef long long ll;',[],[],[],"[' iterBigmod 2 m', ' iterBigmod x n']"
29051189_62784172.xml,b'int32_t\n',b'\n',['main'],"b'typedef pair &lt;int, int> pii;'",[],[],[],[]
29028611_62784116.xml,b'int\n',b'\n',['main'],b'',[],[],[],"[' scanf ""%d"" & Q', ' scanf ""%d %d %d"" & a & b & c', ' printf ""%d\\n"" ans']"
29077692_62792370.xml,b'int\n',b'int a\n',"['solve', 'work', 'main']",b'',[' char const * argv []'],[],"[' bool vis N + 5 N + 5 N + 5', ' int dp N + 5 N + 5 N + 5', ' char const * argv []']","[' max solve a - 1 b - 2 c + 3 dp a b c', ' solve a - 1 b - 2 c', ' max solve a b - 1 c - 2 + 3 dp a b c', ' solve a b - 1 c - 2', ' scanf ""%d%d%d"" & a & b & c', ' printf ""%d\\n"" solve a b c', ' solve a b c', ' scanf ""%d"" & T', ' work ()']"
29088353_62787159.xml,b'int\n',b'\n',['main'],b'typedef long long ll;',[],[],[],"[' min tmp c / 2', ' max ans cnt']"
