ParticipantID	Color	Rank	Country	Problem1_id	Problem1_memory	Problem1_time	Problem1_language	Problem2_id	Problem2_memory	Problem2_time	Problem2_language	Problem3_id	Problem3_memory	Problem3_time	Problem3_language	Problem4_id	Problem4_memory	Problem4_time	Problem4_language	Problem5_id	Problem5_memory	Problem5_time	Problem5_language	Problem6_id	Problem6_memory	Problem6_time	Problem6_language
29762280	blue	114	Россия	64373889	7836	31	GNU C++17	64378507	8268	30	GNU C++17	64400893	15812	156	GNU C++17	64388794	8076	31	GNU C++17	64409102	21116	202	GNU C++17	-	-	-	-
29783877	blue	115	China	64392765	396	31	GNU C++11	64397064	200	31	GNU C++11	64414678	204	31	GNU C++11	64405968	204	31	GNU C++11	64388186	7304	93	GNU C++11	-	-	-	-
29782083	blue	116	-	64373507	16	46	GNU C++17	64377088	60	62	GNU C++17	64400580	152	61	GNU C++17	64384762	8	31	GNU C++17	64411932	13108	374	GNU C++17	-	-	-	-
29748590	blue	117	Brazil	64374450	16	31	GNU C++11	64380340	164	31	GNU C++11	64415791	8	62	GNU C++11	64387627	4	46	GNU C++11	64404701	10492	265	GNU C++11	-	-	-	-
29783683	blue	118	Бангладеш	64375146	88	30	GNU C++17	64380548	172	15	GNU C++17	64388171	244	46	GNU C++17	64395236	56	46	GNU C++17	64415212	12328	140	GNU C++17	-	-	-	-
29736913	blue	119	-	64376485	40	31	GNU C++11	64383472	200	31	GNU C++14	64409314	1804	31	GNU C++11	64404163	8	46	GNU C++11	64397486	5008	62	GNU C++11	-	-	-	-
29738793	blue	120	Индия	64374911	244	31	GNU C++17	64378821	260	46	GNU C++17	64406478	148	62	GNU C++17	64399811	240	31	GNU C++17	64401496	14036	218	GNU C++17	-	-	-	-
29770963	blue	121	Iran	64381759	8	31	GNU C++14	64389869	60	31	GNU C++14	64398973	156	46	GNU C++14	64391270	12	31	GNU C++14	64404425	13112	186	GNU C++14	-	-	-	-
29742301	blue	122	-	64374532	12	31	GNU C++17	64379712	292	61	GNU C++17	64388816	152	62	GNU C++17	64395032	8	46	GNU C++17	64412171	14640	217	GNU C++17	-	-	-	-
29762248	blue	123	Egypt	64375132	1424	31	GNU C++17	64379797	1432	31	GNU C++17	64395503	156	155	GNU C++17	64387193	8	46	GNU C++17	64417308	12104	265	GNU C++17	-	-	-	-
29769681	blue	124	China	64374538	1960	31	GNU C++11	64381586	48	61	GNU C++11	64396945	44	46	GNU C++11	64408464	8	31	GNU C++11	64402248	7432	93	GNU C++11	-	-	-	-
29777330	blue	125	Switzerland	64375099	0	140	Java 8	64380293	0	155	Java 8	64388716	0	920	Java 8	64390901	0	187	Java 8	64412839	36252	483	Java 8	-	-	-	-
29756913	blue	126	Россия	64374238	548	124	Python 3	64379764	640	124	Python 3	64414813	148	156	GNU C++17	64408460	244	31	GNU C++17	64395368	15088	374	GNU C++17	-	-	-	-
29783086	blue	127	Japan	64374202	16	31	GNU C++14	64379564	312	62	GNU C++14	64395122	172	77	GNU C++14	64386027	8	46	GNU C++14	64416514	10588	312	GNU C++14	-	-	-	-
29778632	blue	128	-	64374685	396	31	GNU C++11	64378846	200	31	GNU C++11	64394857	200	31	GNU C++11	64385599	792	31	GNU C++11	64416893	9540	62	GNU C++11	-	-	-	-
29745189	blue	129	China	64375193	8	31	GNU C++14	64378485	64	31	GNU C++11	64386028	160	140	GNU C++14	64397187	8	31	GNU C++14	64414235	4716	202	GNU C++11	-	-	-	-
29755412	blue	130	Lebanon	64376033	16	31	GNU C++17	64379926	60	62	GNU C++17	64391597	12	171	GNU C++17	64401189	240	46	GNU C++17	64408257	13400	187	GNU C++17	-	-	-	-
